材料,酶活,底物,pH,温度(℃),指标,等级,tier,文献数,倍数,疑因标签,逐条取值(DOI=值),人工复核结论,复核备注
mvcm,oxidase,TMB,4.0,25.0,vmax_um_s,严重,3,2,91.51,单位量级错配?/跨文献,10.1039/c4cc10346g=5.5 | 10.1039/c4cc10346g=5.5 | 10.1039/c9tb01515a=0.0601 | 10.1039/c9tb01515a=0.0601,,
v2o5,peroxidase,H2O2,4.0,25.0,km_mm,严重,3,2,80.0,跨文献,10.1002/adfm.201001302=0.0029 | 10.3390/s16040584=0.232,,
cuo,peroxidase,TMB,4.0,36.0,km_mm,严重,3,2,36.25,跨文献,10.1021/acssuschemeng.1c00723=0.58 | 10.1039/c2an35072f=0.016,,
ceo2,oxidase,TMB,4.0,25.0,vmax_um_s,严重,3,4,3.17,跨文献,10.1016/j.cej.2017.08.026=0.13999999999999999 | 10.1039/c6nr02730j=0.069 | 10.1039/c6nr02730j=0.069 | 10.1039/c6nr02730j=0.06899999999999999 | 10.1039/c9nr05346h=0.063 | 10.1039/c9nr05346h=0.063 | 10.1039/c9nr05346h=0.069 | 10.1039/c9nr05346h=0.069 | 10.1039/d0nr04177g=0.1 | 10.1039/d0nr04177g=0.19 | 10.1039/d0nr04177g=0.060000000000000005,,
fe3o4,peroxidase,H2O2,3.55,25.0,kcat_s,严重,3,2,20.47,跨文献,10.1016/j.bios.2018.11.043=1.6965 | 10.1021/am405009f=34.72,,
pt,peroxidase,H2O2,4.0,25.0,vmax_um_s,严重,3,2,18.69,跨文献,10.1002/adfm.201801484=0.09899999999999999 | 10.1016/j.aca.2013.03.034=1.85,,
c,peroxidase,TMB,3.55,36.0,vmax_um_s,严重,3,2,15.57,跨文献,10.1039/c1cc11943e=0.0361 | 10.1038/s41596-018-0001-1=0.562,,
fe3o4,peroxidase,TMB,3.55,25.0,kcat_s,严重,3,2,12.17,跨文献,10.1016/j.bios.2018.11.043=1.8256 | 10.1021/am405009f=22.22,,
pd,peroxidase,H2O2,4.0,20.0,vmax_um_s,严重,3,3,6.28,跨文献,10.1039/c5an01103e=0.24600000000000002 | 10.1039/c5an01103e=0.408 | 10.1039/c5an01103e=0.208 | 10.1021/acsnano.5b03525=0.06499999999999999 | 10.1007/s11434-016-1193-9=0.13999999999999999,,
cu,peroxidase,H2O2,6.0,30.0,vmax_um_s,严重,3,2,10.28,单位量级错配?/跨文献,10.1007/s00604-016-1915-3=0.434 | 10.1021/acsami.0c07886=0.0422,,
